Team,Player,Role
Chennai Super Kings,Suresh Raina,Batsman
Chennai Super Kings,MS Dhoni,Wicket Keeper
Chennai Super Kings,Piyush Chawla,Bowler
Delhi Daredevils,Shikhar Dhawan,Batsman
Delhi Daredevils,Rishabh Pant,Wicket Keeper
Delhi Daredevils,Ravichandran Ashwin,Bowler
Mumbai Indians,Rohit Sharma,Batsman
Mumbai Indians,Ishan Kishan,Wicket Keeper
Mumbai Indians,Jasprit Bumrah,Bowler
Royal Challengers Bangalore,Virat Kohli,Batsman
Royal Challengers Bangalore,Pathiv Patel,Wicket Keeper
Royal Challengers Bangalore,Yuzvendra Chahal,Bowler
